date,year,doy,latitude,longitude,LST,pixel_id,x,y
2023-11-24,2023,328,-2.8713869418698326,-54.70169471316889,307.80423,755493_9682365,755493.5363131408,9682365.99953645
2023-11-24,2023,328,-2.8572995718168386,-55.21607150453993,308.02222,698293_9684025,698293.5363131408,9684025.99953645
2023-11-24,2023,328,-2.857268514117723,-55.19628598086757,307.3301,700493_9684025,700493.5363131408,9684025.99953645
2023-11-24,2023,328,-2.8422887314200556,-55.216094621966626,308.6213,698293_9685685,698293.5363131408,9685685.99953645
2023-11-24,2023,328,-2.8422578371406786,-55.196309354352294,306.79996,700493_9685685,700493.5363131408,9685685.99953645
2023-11-24,2023,328,-2.8272778869247785,-55.216117617131324,310.40335,698293_9687345,698293.5363131408,9687345.99953645
2023-11-24,2023,328,-2.8272471560611034,-55.19633260422081,310.45715,700493_9687345,700493.5363131408,9687345.99953645
2023-11-24,2023,328,-2.812267038352589,-55.21614049004185,311.6455,698293_9689005,698293.5363131408,9689005.99953645
2023-11-24,2023,328,-2.8122364709006007,-55.196355730481024,313.72186,700493_9689005,700493.5363131408,9689005.99953645
2023-11-24,2023,328,-2.7972561857250717,-55.21616324070599,309.7509,698293_9690665,698293.5363131408,9690665.99953645
2023-11-24,2023,328,-2.797225781680776,-55.19637873314082,311.09125,700493_9690665,700493.5363131408,9690665.99953645
2023-11-24,2023,328,-2.7822453290638114,-55.21618586913146,307.96918,698293_9692325,698293.5363131408,9692325.99953645
2023-11-24,2023,328,-2.782215088423237,-55.196401612207985,310.0415,700493_9692325,700493.5363131408,9692325.99953645
2023-11-24,2023,328,-2.7672043911495883,-55.19642436769032,308.96527,700493_9693985,700493.5363131408,9693985.99953645
2023-11-24,2023,328,-2.7671739826040556,-55.17664057710836,308.1367,702693_9693985,702693.5363131408,9693985.99953645
2023-11-24,2023,328,-2.75219368988144,-55.19644699959556,306.22003,700493_9695645,700493.5363131408,9695645.99953645
2023-11-24,2023,328,-2.7521634465315663,-55.17666345693413,309.02493,702693_9695645,702693.5363131408,9695645.99953645
2023-11-24,2023,328,-2.737182984640402,-55.19646950793139,308.71716,700493_9697305,700493.5363131408,9697305.99953645
2023-11-24,2023,328,-2.7371529064822346,-55.176686211836866,308.98813,702693_9697305,702693.5363131408,9697305.99953645
2023-11-24,2023,328,-2.722142362477695,-55.17670884182431,308.87784,702693_9698965,702693.5363131408,9698965.99953645
2023-11-24,2023,328,-2.7071318145395766,-55.17673134690415,308.85483,702693_9700625,702693.5363131408,9700625.99953645
2023-12-02,2023,336,-2.9173428919874005,-55.215977812055435,297.57233,698293_9677385,698293.5363131408,9677385.99953645
2023-12-02,2023,336,-2.9023320682004052,-55.2160014186091,298.0125,698293_9679045,698293.5363131408,9679045.99953645
2023-12-02,2023,336,-2.887321240228593,-55.216024902869094,300.3468,698293_9680705,698293.5363131408,9680705.99953645
2023-12-02,2023,336,-2.8872898556778037,-55.19623886301771,302.10648,700493_9680705,700493.5363131408,9680705.99953645
2023-12-02,2023,336,-2.872310408093545,-55.21604826484339,300.86398,698293_9682365,698293.5363131408,9682365.99953645
2023-12-02,2023,336,-2.8722791869706317,-55.196262483758716,302.7686,700493_9682365,700493.5363131408,9682365.99953645
2023-12-02,2023,336,-2.8572995718168386,-55.21607150453993,301.79605,698293_9684025,698293.5363131408,9684025.99953645
2023-12-02,2023,336,-2.857268514117723,-55.19628598086757,304.41455,700493_9684025,700493.5363131408,9684025.99953645
2023-12-02,2023,336,-2.8422887314200556,-55.216094621966626,302.43768,698293_9685685,698293.5363131408,9685685.99953645
2023-12-02,2023,336,-2.8422578371406786,-55.196309354352294,303.35535,700493_9685685,700493.5363131408,9685685.99953645
2023-12-02,2023,336,-2.8272778869247785,-55.216117617131324,302.81,698293_9687345,698293.5363131408,9687345.99953645
2023-12-02,2023,336,-2.8272471560611034,-55.19633260422081,303.62537,700493_9687345,700493.5363131408,9687345.99953645
2023-12-02,2023,336,-2.812267038352589,-55.21614049004185,302.75912,698293_9689005,698293.5363131408,9689005.99953645
2023-12-02,2023,336,-2.8122364709006007,-55.196355730481024,305.1721,700493_9689005,700493.5363131408,9689005.99953645
2023-12-02,2023,336,-2.7972561857250717,-55.21616324070599,303.75278,698293_9690665,698293.5363131408,9690665.99953645
2023-12-02,2023,336,-2.797225781680776,-55.19637873314082,302.83328,700493_9690665,700493.5363131408,9690665.99953645
2023-12-02,2023,336,-2.7822453290638114,-55.21618586913146,302.426,698293_9692325,698293.5363131408,9692325.99953645
2023-12-02,2023,336,-2.782215088423237,-55.196401612207985,301.77414,700493_9692325,700493.5363131408,9692325.99953645
2023-12-02,2023,336,-2.7672043911495883,-55.19642436769032,301.02844,700493_9693985,700493.5363131408,9693985.99953645
2023-12-02,2023,336,-2.7671739826040556,-55.17664057710836,300.73846,702693_9693985,702693.5363131408,9693985.99953645
2023-12-02,2023,336,-2.75219368988144,-55.19644699959556,299.96158,700493_9695645,700493.5363131408,9695645.99953645
2023-12-02,2023,336,-2.7521634465315663,-55.17666345693413,301.7887,702693_9695645,702693.5363131408,9695645.99953645
2023-12-02,2023,336,-2.737182984640402,-55.19646950793139,301.01596,700493_9697305,700493.5363131408,9697305.99953645
2023-12-02,2023,336,-2.7371529064822346,-55.176686211836866,302.63272,702693_9697305,702693.5363131408,9697305.99953645
2023-12-02,2023,336,-2.722142362477695,-55.17670884182431,301.07883,702693_9698965,702693.5363131408,9698965.99953645
2023-12-13,2023,347,-3.1121652664016954,-55.03755706484469,297.46677,718093_9655805,718093.5363131408,9655805.99953645
2023-12-13,2023,347,-3.112128076265289,-55.01776902308626,297.54364,720293_9655805,720293.5363131408,9655805.99953645
2023-12-13,2023,347,-3.1119365382146325,-54.918832444070965,296.93124,731293_9655805,731293.5363131408,9655805.99953645
2023-12-13,2023,347,-3.111897113290663,-54.89904587088168,297.03656,733493_9655805,733493.5363131408,9655805.99953645
